Latitude__,Longitude,Date,Month,Year,Species,Size (feet),Encounters
-14.405,131.585,2021-06-25,6,2021,Crocodylus,0.0,1
-14.403,131.584,2021-06-25,6,2021,Crocodylus,0.0,1
-14.402,131.584,2021-06-25,6,2021,Crocodylus johnstoni,5.0,1
-14.4,131.585,2021-06-25,6,2021,Crocodylus,0.0,1
-14.397,131.585,2021-06-25,6,2021,Crocodylus johnstoni,5.0,2
-14.395,131.586,2021-06-25,6,2021,Crocodylus johnstoni,3.5,2
-14.393,131.585,2021-06-25,6,2021,Crocodylus,0.0,1
-14.39,131.583,2021-06-25,6,2021,Crocodylus johnstoni,6.5,2
-14.389,131.583,2021-06-25,6,2021,Crocodylus,0.0,1
-14.386,131.58,2021-06-25,6,2021,Crocodylus johnstoni,6.0,1
-14.384,131.58,2021-06-25,6,2021,Crocodylus,0.0,4
-14.383,131.58,2021-06-25,6,2021,Crocodylus,0.0,1
-14.382,131.58,2021-06-25,6,2021,Crocodylus,0.0,1
-14.38,131.579,2021-06-25,6,2021,Crocodylus,0.0,1
-14.377,131.579,2021-06-25,6,2021,Crocodylus,0.0,2
-14.373,131.577,2021-06-25,6,2021,Crocodylus johnstoni,2.0,1
-14.373,131.578,2021-06-25,6,2021,Crocodylus,0.0,1
-14.365,131.557,2021-06-25,6,2021,Crocodylus,0.0,1
-14.365,131.562,2021-06-25,6,2021,Crocodylus,0.0,2
-14.364,131.575,2021-06-25,6,2021,Crocodylus,0.0,1
-14.362,131.565,2021-06-25,6,2021,Crocodylus,0.0,1
-14.362,131.575,2021-06-25,6,2021,Crocodylus johnstoni,4.0,1
-14.36,131.568,2021-06-25,6,2021,Crocodylus,0.0,1
-14.36,131.576,2021-06-25,6,2021,Crocodylus,0.0,1
-14.357,131.572,2021-06-25,6,2021,Crocodylus,0.0,1
-14.066,131.227,2021-06-23,6,2021,Crocodylus,0.0,3
-14.065,131.226,2021-06-23,6,2021,Crocodylus porosus,6.0,1
-14.065,131.227,2021-06-23,6,2021,Crocodylus,0.0,1
-14.058,131.224,2021-06-23,6,2021,Crocodylus,0.0,1
-14.056,131.221,2021-06-23,6,2021,Crocodylus,0.0,1
-14.054,131.218,2021-06-23,6,2021,Crocodylus johnstoni,4.0,1
-14.054,131.219,2021-06-23,6,2021,Crocodylus,0.0,1
-14.053,131.214,2021-06-23,6,2021,Crocodylus,0.0,1
-14.053,131.215,2021-06-23,6,2021,Crocodylus johnstoni,6.0,1
-14.053,131.216,2021-06-23,6,2021,Crocodylus johnstoni,5.0,1
-14.052,131.212,2021-06-23,6,2021,Crocodylus,0.0,1
-14.049,131.209,2021-06-23,6,2021,Crocodylus porosus,2.4,5
-14.044,131.211,2021-06-23,6,2021,Crocodylus,0.0,1
-14.04,131.213,2021-06-23,6,2021,Crocodylus porosus,10.0,1
-14.031,131.216,2021-06-23,6,2021,Crocodylus,0.0,1
-14.028,131.216,2021-06-23,6,2021,Crocodylus,0.0,1
-14.025,131.217,2021-06-23,6,2021,Crocodylus johnstoni,2.0,2
-14.022,131.219,2021-06-23,6,2021,Crocodylus,0.0,1
-14.021,131.223,2021-06-23,6,2021,Crocodylus,0.0,2
-14.021,131.224,2021-06-23,6,2021,Crocodylus johnstoni,6.5,2
-14.021,131.225,2021-06-23,6,2021,Crocodylus johnstoni,3.0,1
-14.021,131.23,2021-06-23,6,2021,Crocodylus johnstoni,4.0,2
-14.02,131.235,2021-06-23,6,2021,Crocodylus,0.0,1
-14.018,131.238,2021-06-23,6,2021,Crocodylus,0.0,1
-14.018,131.239,2021-06-23,6,2021,Crocodylus johnstoni,6.0,1
-14.013,131.242,2021-06-23,6,2021,Crocodylus,0.0,2
-14.012,131.242,2021-06-23,6,2021,Crocodylus,0.0,1
-14.011,131.243,2021-06-23,6,2021,Crocodylus johnstoni,5.0,1
-14.01,131.243,2021-06-23,6,2021,Crocodylus johnstoni,8.0,2
-14.007,131.242,2021-06-23,6,2021,Crocodylus johnstoni,4.0,8
-14.006,131.241,2021-06-23,6,2021,Crocodylus johnstoni,4.5,4
-14.005,131.241,2021-06-23,6,2021,Crocodylus johnstoni,6.0,1
-14.004,131.239,2021-06-23,6,2021,Crocodylus johnstoni,3.0,1
-14.002,131.236,2021-06-23,6,2021,Crocodylus,0.0,2
-14.001,131.233,2021-06-23,6,2021,Crocodylus,0.0,1
-14.0,131.231,2021-06-23,6,2021,Crocodylus,0.0,1
-13.998,131.227,2021-06-23,6,2021,Crocodylus,0.0,1
-13.998,131.228,2021-06-23,6,2021,Crocodylus johnstoni,1.5,2
-13.995,131.226,2021-06-23,6,2021,Crocodylus johnstoni,3.0,1
-13.994,131.226,2021-06-23,6,2021,Crocodylus johnstoni,5.0,1
-13.993,131.226,2021-06-23,6,2021,Crocodylus johnstoni,3.0,1
-13.992,131.227,2021-06-23,6,2021,Crocodylus johnstoni,4.0,1
-13.99,131.227,2021-06-23,6,2021,Crocodylus,0.0,1
-13.987,131.227,2021-06-23,6,2021,Crocodylus,0.0,1
-13.986,131.226,2021-06-23,6,2021,Crocodylus johnstoni,4.0,1
-13.984,131.224,2021-06-23,6,2021,Crocodylus johnstoni,2.0,3
-13.983,131.216,2021-06-23,6,2021,Crocodylus johnstoni,3.0,2
-13.983,131.221,2021-06-23,6,2021,Crocodylus johnstoni,2.0,2
-13.983,131.223,2021-06-23,6,2021,Crocodylus johnstoni,0.6666666666666666,3
-13.981,131.214,2021-06-23,6,2021,Crocodylus johnstoni,2.0,1
-13.98,131.213,2021-06-23,6,2021,Crocodylus johnstoni,5.0,1
-13.979,131.213,2021-06-23,6,2021,Crocodylus johnstoni,5.0,1
-13.978,131.213,2021-06-23,6,2021,Crocodylus johnstoni,5.0,1
-13.976,131.213,2021-06-23,6,2021,Crocodylus,0.0,1
-13.969,131.2,2021-06-23,6,2021,Crocodylus johnstoni,3.0,1
-13.968,131.203,2021-06-23,6,2021,Crocodylus johnstoni,3.0,1
-13.968,131.204,2021-06-23,6,2021,Crocodylus johnstoni,5.0,1
-13.968,131.212,2021-06-23,6,2021,Crocodylus johnstoni,3.0,1
-13.967,131.206,2021-06-23,6,2021,Crocodylus johnstoni,7.0,1
-13.967,131.207,2021-06-23,6,2021,Crocodylus johnstoni,5.0,1
-13.967,131.208,2021-06-23,6,2021,Crocodylus johnstoni,4.0,1
-13.967,131.209,2021-06-23,6,2021,Crocodylus johnstoni,4.0,2
-13.967,131.21,2021-06-23,6,2021,Crocodylus,0.0,1
-13.964,131.194,2021-06-23,6,2021,Crocodylus,0.0,3
-13.963,131.194,2021-06-23,6,2021,Crocodylus,0.0,3
-13.961,131.193,2021-06-23,6,2021,Crocodylus,0.0,1
-13.958,131.194,2021-06-23,6,2021,Crocodylus johnstoni,1.3333333333333333,3
-13.955,131.194,2021-06-23,6,2021,Crocodylus johnstoni,4.5,2
-13.952,131.195,2021-06-23,6,2021,Crocodylus,0.0,1
-13.951,130.854,2021-06-21,6,2021,Crocodylus johnstoni,8.0,1
-13.95,130.848,2021-06-21,6,2021,Crocodylus johnstoni,1.0,2
-13.95,130.85,2021-06-21,6,2021,Crocodylus johnstoni,5.0,1
-13.95,130.851,2021-06-21,6,2021,Crocodylus,0.0,2
-13.95,130.856,2021-06-21,6,2021,Crocodylus,0.0,1
-13.949,130.844,2021-06-21,6,2021,Crocodylus,0.0,2
-13.949,130.846,2021-06-21,6,2021,Crocodylus,0.0,1
-13.949,131.195,2021-06-23,6,2021,Crocodylus johnstoni,7.0,1
-13.948,130.843,2021-06-21,6,2021,Crocodylus johnstoni,2.0,2
-13.948,130.857,2021-06-21,6,2021,Crocodylus,0.0,1
-13.947,130.857,2021-06-21,6,2021,Crocodylus,0.0,1
-13.947,130.858,2021-06-21,6,2021,Crocodylus porosus,4.5,2
-13.946,130.841,2021-06-21,6,2021,Crocodylus johnstoni,3.0,2
-13.946,130.842,2021-06-21,6,2021,Crocodylus johnstoni,5.5,4
-13.944,130.841,2021-06-21,6,2021,Crocodylus johnstoni,5.0,1
-13.944,130.862,2021-06-21,6,2021,Crocodylus porosus,4.0,2
-13.944,130.863,2021-06-21,6,2021,Crocodylus johnstoni,8.0,1
-13.944,131.193,2021-06-23,6,2021,Crocodylus johnstoni,3.0,1
-13.944,131.194,2021-06-23,6,2021,Crocodylus johnstoni,2.0,1
-13.943,130.84,2021-06-21,6,2021,Crocodylus,0.0,3
-13.943,130.864,2021-06-21,6,2021,Crocodylus,0.0,1
-13.943,130.865,2021-06-21,6,2021,Crocodylus,0.0,1
-13.943,130.867,2021-06-21,6,2021,Crocodylus,0.0,2
-13.943,131.191,2021-06-23,6,2021,Crocodylus johnstoni,7.0,1
-13.943,131.192,2021-06-23,6,2021,Crocodylus,0.0,1
-13.942,130.867,2021-06-21,6,2021,Crocodylus porosus,9.0,1
-13.942,130.868,2021-06-21,6,2021,Crocodylus porosus,6.0,1
-13.942,131.188,2021-06-23,6,2021,Crocodylus porosus,3.0,2
-13.942,131.19,2021-06-23,6,2021,Crocodylus,0.0,1
-13.941,130.84,2021-06-21,6,2021,Crocodylus,0.0,1
-13.941,130.869,2021-06-21,6,2021,Crocodylus porosus,4.0,2
-13.941,130.87,2021-06-21,6,2021,Crocodylus,0.0,1
-13.941,130.871,2021-06-21,6,2021,Crocodylus johnstoni,3.5,2
-13.941,131.185,2021-06-23,6,2021,Crocodylus,0.0,1
-13.941,131.187,2021-06-23,6,2021,Crocodylus,0.0,2
-13.94,130.84,2021-06-21,6,2021,Crocodylus,0.0,1
-13.94,130.873,2021-06-21,6,2021,Crocodylus johnstoni,5.166666666666667,6
-13.939,130.874,2021-06-21,6,2021,Crocodylus johnstoni,2.2,10
-13.939,131.183,2021-06-23,6,2021,Crocodylus johnstoni,6.0,1
-13.939,131.184,2021-06-23,6,2021,Crocodylus johnstoni,5.0,1
-13.938,130.84,2021-06-21,6,2021,Crocodylus porosus,3.3333333333333335,3
-13.936,131.182,2021-06-23,6,2021,Crocodylus,0.0,2
-13.935,131.181,2021-06-23,6,2021,Crocodylus,0.0,1
-13.934,130.876,2021-06-21,6,2021,Crocodylus,0.0,1
-13.934,131.182,2021-06-23,6,2021,Crocodylus johnstoni,3.0,1
-13.933,130.841,2021-06-21,6,2021,Crocodylus,0.0,2
-13.933,130.876,2021-06-21,6,2021,Crocodylus johnstoni,4.0,1
-13.933,131.182,2021-06-23,6,2021,Crocodylus,0.0,2
-13.932,130.841,2021-06-21,6,2021,Crocodylus,0.0,1
-13.932,130.876,2021-06-21,6,2021,Crocodylus johnstoni,4.0,1
-13.932,131.182,2021-06-23,6,2021,Crocodylus,0.0,1
-13.931,130.842,2021-06-21,6,2021,Crocodylus,0.0,1
