Latitude__,Longitude,Month,Year,Encounters
-14.405,131.585,6,2021,1
-14.403,131.584,6,2021,1
-14.402,131.584,6,2021,1
-14.4,131.585,6,2021,1
-14.397,131.585,6,2021,2
-14.395,131.586,6,2021,2
-14.393,131.585,6,2021,1
-14.39,131.583,6,2021,2
-14.389,131.583,6,2021,1
-14.386,131.58,6,2021,1
-14.384,131.58,6,2021,4
-14.383,131.58,6,2021,1
-14.382,131.58,6,2021,1
-14.38,131.579,6,2021,1
-14.377,131.579,6,2021,2
-14.373,131.577,6,2021,1
-14.373,131.578,6,2021,1
-14.365,131.557,6,2021,1
-14.365,131.562,6,2021,2
-14.364,131.575,6,2021,1
-14.362,131.565,6,2021,1
-14.362,131.575,6,2021,1
-14.36,131.568,6,2021,1
-14.36,131.576,6,2021,1
-14.357,131.572,6,2021,1
-14.066,131.227,6,2021,3
-14.065,131.226,6,2021,1
-14.065,131.227,6,2021,1
-14.058,131.224,6,2021,1
-14.056,131.221,6,2021,1
-14.054,131.218,6,2021,1
-14.054,131.219,6,2021,1
-14.053,131.214,6,2021,1
-14.053,131.215,6,2021,1
-14.053,131.216,6,2021,1
-14.052,131.212,6,2021,1
-14.049,131.209,6,2021,5
-14.044,131.211,6,2021,1
-14.04,131.213,6,2021,1
-14.031,131.216,6,2021,1
-14.028,131.216,6,2021,1
-14.025,131.217,6,2021,2
-14.022,131.219,6,2021,1
-14.021,131.223,6,2021,2
-14.021,131.224,6,2021,2
-14.021,131.225,6,2021,1
-14.021,131.23,6,2021,2
-14.02,131.235,6,2021,1
-14.018,131.238,6,2021,1
-14.018,131.239,6,2021,1
-14.013,131.242,6,2021,2
-14.012,131.242,6,2021,1
-14.011,131.243,6,2021,1
-14.01,131.243,6,2021,2
-14.007,131.242,6,2021,8
-14.006,131.241,6,2021,4
-14.005,131.241,6,2021,1
-14.004,131.239,6,2021,1
-14.002,131.236,6,2021,2
-14.001,131.233,6,2021,1
-14.0,131.231,6,2021,1
-13.998,131.227,6,2021,1
-13.998,131.228,6,2021,2
-13.995,131.226,6,2021,1
-13.994,131.226,6,2021,1
-13.993,131.226,6,2021,1
-13.992,131.227,6,2021,1
-13.99,131.227,6,2021,1
-13.987,131.227,6,2021,1
-13.986,131.226,6,2021,1
-13.984,131.224,6,2021,3
-13.983,131.216,6,2021,2
-13.983,131.221,6,2021,2
-13.983,131.223,6,2021,3
